ts_code,trade_date,close,open,high,low,vol,amount
000015.SH,20211119,2730.81,2693.5,2734.36,2675.79,9474207900.0,73768097853.0
000015.SH,20211112,2699.44,2691.83,2718.67,2627.51,10706761000.0,92549190549.0
000015.SH,20211105,2683.03,2724.04,2757.53,2665.32,11952881900.0,95031124864.0
000015.SH,20211029,2739.79,2891.84,2902.96,2715.84,11099493800.0,93155235844.0
000015.SH,20211022,2892.18,2928.57,3009.91,2888.05,12110492700.0,106291269812.0
000015.SH,20211015,2933.65,2972.4,3050.1,2890.24,12268587500.0,104801925158.0
000015.SH,20211008,2969.39,3014.52,3020.19,2943.18,2905235300.0,22541532422.0
000015.SH,20210930,2982.22,3072.18,3078.9,2932.86,12099827600.0,96326945623.0
000015.SH,20210924,3059.12,3098.74,3248.43,3055.23,9438844800.0,81743822368.0
000015.SH,20210917,3130.4,3248.96,3333.2,3082.86,18142268100.0,156566907803.0
000015.SH,20210910,3244.18,3081.14,3314.98,3064.35,19462102700.0,163523703409.0
000015.SH,20210903,3067.44,2930.19,3089.62,2914.37,17125699700.0,145469200239.0
000015.SH,20210827,2921.8,2801.37,2923.92,2797.52,11511112200.0,96084846471.0
000015.SH,20210820,2784.54,2799.83,2820.42,2752.12,12863218800.0,103067892263.0
000015.SH,20210813,2795.58,2678.19,2810.92,2671.47,12319514700.0,103307878738.0
000015.SH,20210806,2677.74,2690.48,2695.48,2639.4,11376911100.0,90582393816.0
000015.SH,20210730,2719.28,2821.53,2821.53,2639.93,13297074900.0,99865516112.0
000015.SH,20210723,2818.02,2881.9,2883.42,2812.62,11028781500.0,83774261477.0
000015.SH,20210716,2869.72,2807.0,2889.04,2792.87,13009803500.0,97938051253.0
000015.SH,20210709,2798.85,2839.8,2845.27,2762.07,11653671000.0,91222514598.0
000015.SH,20210702,2839.3,2917.22,2919.39,2835.47,11668905500.0,97213693972.0
000015.SH,20210625,2941.87,2822.85,2950.43,2804.62,11914180000.0,101591494282.0
000015.SH,20210618,2818.4,2892.73,2893.76,2810.14,10313465200.0,83865371418.0
000015.SH,20210611,2880.58,2883.12,2895.67,2844.72,13022027300.0,95469471663.0
000015.SH,20210604,2873.42,2868.98,2924.03,2839.99,14021661800.0,105240287059.0
000015.SH,20210528,2852.49,2785.39,2873.0,2777.27,12120159200.0,95047175364.0
000015.SH,20210521,2779.15,2824.38,2837.43,2747.64,10127008100.0,80193708725.0
000015.SH,20210514,2820.72,2852.52,2879.7,2805.16,11808816100.0,94192228201.0
000015.SH,20210507,2836.71,2769.51,2858.72,2769.51,5645922200.0,44114669164.0
000015.SH,20210430,2761.13,2802.67,2812.82,2750.63,11310459600.0,85487990965.0
000015.SH,20210423,2793.08,2792.92,2821.04,2775.12,10598688600.0,83044560105.0
000015.SH,20210416,2799.68,2770.3,2801.45,2734.66,10211108800.0,78503738131.0
